Company,Website,Email,Social,City,Phone,Email Flag
Good Ol Days Diner,,,https://www.instagram.com/goodoldaysdiner,Brooklyn,+1 347-384-1401,No public email
River View Diner,,,https://facebook.com/pages/category/Diner/RiverView-Diner-100859166625528,North Bergen,+1 201-868-5400,No public email
Sky View Diner,,,https://www.facebook.com/Skyview-Diner-878457142215653,Bronx,+1 718-708-6665,No public email
The Skyline Diner,,,https://m.facebook.com/pages/Skyline-Diner/120832157930706,Elizabeth,+1 908-351-1773,No public email
Allerton Diner,https://allerton-diner.ueniweb.com/,,,Bronx,+1 718-655-9044,No public email
American Grill,https://ggamericangrill.com/,,,Staten Island,+1 718-494-4717,No public email
Andrew’s Diner,https://andrewsdiner.com/,,,Staten Island,+1 718-948-8544,No public email
Andros Diner,http://www.androsdinerfairfield.com/,,,Fairfield,+1 203-384-8176,No public email
Andros Restaurant,https://orderandrosrestaurant.com/,,,Newark,+1 973-344-2626,No public email
Apollo Restaurant Diner,https://apollodinerny.com/,,,East Meadow,+1 516-292-1620,No public email
Ardsley Diner,http://www.ardsleydiner.com/,,,Ardsley,+1 914-693-0601,No public email
Arlington Diner,https://www.arlingtondinernj.com/,,,North Arlington,+1 201-998-6262,No public email
Atlantis Diner,http://atlantisdiner.net/,,,West Islip,+1 631-587-2003,No public email
Bedford Cafe,https://www.bedfordcafe.nyc/,,,Bronx,+1 718-365-3446,No public email
Bel Aire Diner,https://belairediner.nyc/,,,Astoria,+1 718-721-3160,No public email
Bergen Diner,https://bergendiner.com/,,,Closter,+1 201-660-7007,No public email
BLD Diner,http://www.bld-diner.com/,,,Larchmont,+1 914-833-2062,No public email
Blue Point Diner,https://bluepointdiner.netwaiter.com/,,,Blue Point,+1 631-363-0133,No public email
Boulevard Diner,http://boulevarddinernj.com/,,,North Bergen,+1 201-861-2006,No public email
Bridgewater Diner,https://bridgewaterdiner.com/,,,Bridgewater,+1 908-725-8118,No public email
Broad Street Diner,http://broadstreetdinernj.com/,,,Keyport,+1 732-497-0808,No public email
Broadway Diner,https://order.toasttab.com/online/broadway-diner-287-north-broadway,,,Hicksville,+1 516-681-3982,No public email
California Diner,http://www.californiadinerny.com/,,,Patchogue,+1 631-363-5338,No public email
Candlelight Diner,https://candlelightdiner.com/,,,Commack,+1 631-499-3918,No public email
Candlewyck Diner,http://www.candlewyckdiner.com/,,,East Rutherford,+1 201-933-4446,No public email
Capitol Diner,https://capitoldinerco.com/,,,Bronx,+1 347-431-7400,No public email
Central Plaza Diner,https://www.centralplazadiner.com/,,,Yonkers,+1 914-779-8030,No public email
Central Restaurant,https://centralrestaurantnj.com/,,,Newark,+1 973-623-8137,No public email
Chit Chat Diner,https://www.chitchatdiner.com/,,,Hackensack,+1 201-820-4033,No public email
Chit Chat Diner,https://www.chitchatdiner.com/,,,West Orange,+1 973-736-1989,No public email
City Diner,https://citydiner.com/,,,Jersey City,+1 201-721-5331,No public email
City Island Diner,http://www.cityislanddiner.com/,,,Bronx,+1 718-885-0362,No public email
City Limits Diner,https://www.citylimitsdiner.com/,,,White Plains,+1 914-686-9000,No public email
Clairmont Diner,https://theclairmontdiner.com/,,,Yonkers,+1 914-423-0482,No public email
Clark's,https://clarksdiner.com/,,,Brooklyn,+1 718-855-5484,No public email
Cobble Hill Coffee Shop,https://www.cobblehillcoffeeshopny.com/,,,Brooklyn,+1 718-852-1162,No public email
Coffee Delight Diner,https://coffeedelight.toast.site/,,,Bronx,+1 718-665-4581,No public email
Colonial Diner,http://www.thecolonialnj.com/,,,Lyndhurst,+1 201-935-3192,No public email
Colony Diner,http://www.colonydinereastmeadow.com/,,,East Meadow,+1 516-794-5159,No public email
Coram Diner,http://coramdiner.com/,,,Coram,+1 631-451-0487,No public email
Crosstown Diner,https://crosstowndiner.com/,,,Bronx,+1 718-597-3450,No public email
Cutchogue Diner,http://www.cutchoguediner.com/,,,Cutchogue,+1 631-734-7016,No public email
Darien Diner,http://prdfamily.com/,,,Darien,+1 203-655-3181,No public email
DD's Diner,http://www.ddsdiner.com/,,,Ossining,+1 914-236-3779,No public email
Deluxe Diner,https://www.deluxedinernj.com/,,,Newark,+1 973-624-1532,No public email
Diner Bar,http://www.thedinerbar.com/,,,Rego Park,+1 718-897-6000,No public email
Dix Hills Diner,https://www.dixhillsdiner.co/,,,Huntington,+1 631-499-5899,No public email
Dobbs Diner,https://dobbsdiner.com/,,,Dobbs Ferry,+1 914-674-0850,No public email
Dorry's Diner,http://www.dorrysdiner.com/,,,White Plains,+1 914-682-0005,No public email
Dove Diner,https://dovedinersi.com/,,,Staten Island,+1 718-967-1900,No public email
Dyre Ave Diner,https://dyreavenuediner.com/,,,Bronx,+1 718-994-0036,No public email
East Bay Diner Seaford,https://eastbaydinerny.com/menu,,,Seaford,+1 516-781-5300,No public email
Eldorado Diner,http://www.eldoradodiners.com/Location-ELE-Elmsford/Default.aspx,,,Elmsford,+1 914-592-6197,No public email
Elmer's Diner,http://www.elmersdiner.com/,,,Danbury,+1 203-731-2559,No public email
Elmwood Park Diner,https://www.epdiner.com/,,,Elmwood Park,+1 201-796-6641,No public email
Embassy Diner,https://www.embassydiner.com/,,,Bethpage,+1 516-796-1132,No public email
Empire Diner,http://empire-diner.com/,,,New York,+1 212-335-2277,No public email
Family Corner,https://familycornerny.com/,,,Astoria,+1 718-313-3298,No public email
Farmingdale Diner,https://farmingdalediner.com/,,,Farmingdale,+1 516-777-3377,No public email
Ferry Diner & Restaurant,https://ferrydiner.com/,,,Newark,+1 973-344-1140,No public email
Fina's Farmhouse,https://finasfarmhousesi.net/,,,Staten Island,+1 718-554-4039,No public email
Floral Park Diner,http://www.floralparkdiner.com/find-us.html,,,Floral Park,+1 516-307-8877,No public email
Galaxy Diner-Restaurant,https://galaxydinerct.com/,,,Bridgeport,+1 203-372-8398,No public email
Garden State Diner,http://www.gardenstatediner.com/,,,Newark,+1 973-648-6791,No public email
George's Restaurant,http://georgesonbuhre.com/,,,Bronx,+1 718-918-9807,No public email
Georgia Diner,https://georgiadiner.com/,,,Elmhurst,+1 718-651-9000,No public email
Golden Eagle II Diner,https://goldeneagledinerbx.com/,,,Bronx,+1 718-822-9433,No public email
Golden Eagle Restaurant,https://www.goldeneaglethebronx.com/,,,Bronx,+1 718-863-4028,No public email
Golden Reef Diner,https://goldenreefdiner.com/,,,Rockville Centre,+1 516-764-9273,No public email
Gramercy Bar Restaurant,https://gramercyastoria.com/,,,Astoria,+1 917-745-0713,No public email
Grand Stage Diner,https://grandstagediner.com/,,,East Meadow,+1 516-719-5977,No public email
Grassy Sprain Diner,http://www.grassyspraindiner.com/,,,Yonkers,+1 914-222-9455,No public email
Great Neck Diner,http://greatneckdiner.com/,,,Great Neck,+1 516-466-0678,No public email
Halal Central Diner,http://www.halalcentraldiner.com/,,,Elizabeth,+1 908-351-0999,No public email
Hauppauge Palace Diner,http://www.hpdiner.com/,,,Hauppauge,+1 631-724-1775,No public email
Heritage Diner,http://heritagediner.com/,,,Mt Sinai,+1 631-642-3700,No public email
Holbrook Diner,https://www.holbrookdinerny.com/,,,Holbrook,+1 631-471-7744,No public email
Holiday Diner,http://www.holidaydiner.com/,,,Danbury,+1 203-748-9798,No public email
Hylan Diner,http://hylandiner.com/,,,Staten Island,+1 718-668-9200,No public email
Imperial Diner,http://www.imperialdiner.com/,,,Freeport,+1 516-868-0303,No public email
Infinity Diner,https://infinitydiner.com/,,,West Babylon,+1 631-884-6321,No public email
Island Lake Diner,https://www.islandlakediner.com/,,,Ronkonkoma,+1 631-676-5500,No public email
Jackson Hole Diner,http://www.jacksonholeburgers.com/,,,East Elmhurst,+1 718-204-7070,No public email
Jackson Hole Diner,https://jacksonholeburgers.com/englewood-new-jersey/,,,Englewood,+1 201-871-7444,No public email
Jahn's,https://jahnsrestaurant.com/,,,Jackson Heights,+1 718-651-0700,No public email
Jax Inn Diner,https://jaxinndiner.com/,,,Flushing,+1 718-476-1240,No public email
Jimmy's Grand Cafe,https://jimmysgrandcafe.com/,,,Bronx,+1 718-319-1200,No public email
Joe Jr.,https://joejr.twupro.com/,,,New York,+1 212-473-5150,No public email
John's Diner,https://johnsdinerbronx.com/,,,Bronx,+1 718-931-9402,No public email
Johnny Prince's Bayway Diner,http://johnnyprincesdiner.com/,,,Linden,+1 908-583-5585,No public email
Kings Arms Diner,http://kingsarmsdinersi.com/,,,Staten Island,+1 718-448-0326,No public email
Lakeside Diner,http://lakesidedinernj.com/,,,Ringwood,+1 862-377-0999,No public email
Land & Sea Diner Restaurant,http://www.landandsearestaurantnj.com/,,,Fair Lawn,+1 201-794-7240,No public email
Landmark Diner,http://www.landmarkdineronline.com/,,,Roslyn,+1 516-627-4830,No public email
Laurel Diner,https://www.laureldiner.com/,,,Long Beach,+1 516-432-7728,No public email
Lighthouse Diner,https://thelighthousediner.com/,,,Wantagh,+1 516-826-8111,No public email
Majestic Diner,http://majesticdiner-li.com/,,,Westbury,+1 516-997-6010,No public email
Malibu Diner,http://malibudiner.com/,,,Hoboken,+1 201-656-1595,No public email
Mamaroneck Diner & Pizza Restaurant,http://www.mdiner.com/,,,Mamaroneck,+1 914-698-3564,No public email
Maspeth Diner inc,https://maspethdiner.com/,,,Maspeth,+1 718-894-6923,No public email
Massapequa Diner,http://www.massapequadiner.com/,,,Massapequa,+1 516-799-5234,No public email
Matthews Diner,http://www.matthewsdiner.com/,,,Waldwick,+1 201-447-1411,No public email
Mike Jr’s Richmond Diner,https://whereyoueat.com/Mike-Jrs-Richmond-Diner-989.html,,,Staten Island,+1 718-317-2331,No public email
Mike's Coffee Shop,https://mikescoffeeshopbk.com/,,,Brooklyn,+1 718-857-1462,No public email
Mike's Olympic Grill,http://mikesdinersi.com/,,,Staten Island,+1 718-442-8685,No public email
Mike's Place,https://mikesdinersi.com/,,,Staten Island,+1 718-984-9479,No public email
Mike's Unicorn Diner,http://mikesdinersi.com/,,,Staten Island,+1 718-494-2173,No public email
Mineola Diner,https://website.themineoladiner.com/,,,Mineola,+1 516-877-1370,No public email
Mont Olympos Diner,http://www.montolymposdiner.com/,,,Yonkers,+1 914-961-4677,No public email
Moriches Bay Diner,https://www.morichesbaydinerli.com/,,,Moriches,+1 631-878-6827,No public email
Mt. Kisco Diner,https://www.mtkiscodiner.com/,,,Mt Kisco,+1 914-666-5676,No public email
Nautilus Diner,http://nautilusdiner.com/,,,Massapequa,+1 516-799-5880,No public email
Nautilus Diner,http://nautilusdinermamaroneck.com/,,,Mamaroneck,+1 914-833-1320,No public email
New Rochelle Diner,https://www.newrochellediner.com/,,,New Rochelle,+1 914-637-7525,No public email
Northport Shipwreck Diner,http://www.nptshipwreck.com/,,,Northport,+1 631-754-1797,No public email
Northvale Classic Diner,https://northvaleclassicdiner.com/,,,Northvale,+1 201-767-6267,No public email
Nutley Diner,https://www.nutleydiner.com/,,,Nutley,+1 973-235-0937,No public email
Oakland Diner,http://oaklanddinernj.com/,,,Oakland,+1 201-337-1262,No public email
Oakwood Diner,https://mikesjr.com/,,,Staten Island,+1 718-668-1570,No public email
Old John's Diner,https://iloveoldjohns.com/,,,New York,+1 212-874-2700,No public email
Old Westbury Diner,http://oldwestburydinerli.com/,,,Old Westbury,+1 516-246-9201,No public email
Omega Diner Restaurant,https://omegadinerny.com/,,,New Hyde Park,+1 516-354-4666,No public email
On Parade Diner,https://www.onparadediner.com/,,,Woodbury,+1 516-364-1870,No public email
Orem's Diner,http://www.oremsdiner.com/,,,Wilton,+1 203-762-7370,No public email
Page Plaza Diner,http://pageplazarestaurant.com/,,,Staten Island,+1 718-966-3500,No public email
Park Wayne Diner,http://parkwaynediner.com/,,,Wayne,+1 973-595-7600,No public email
Park West Diner,https://www.parkwestdiner.com/,,,Little Falls Township,+1 973-256-2767,No public email
Parkway Diner,http://parkway46diner.com/,,,Elmwood Park,+1 201-791-5342,No public email
Perkins Restaurant & Bakery,https://perkinsrestaurants.com/locations/us/ny/staten-island/1409-hylan-blvd,,,Staten Island,+1 718-979-9180,No public email
Peter Pan Diner,http://peterpandiner.com/,,,Bay Shore,+1 631-665-1788,No public email
Peter's Diner,http://www.petersdinerny.com/,,,Amityville,+1 631-693-9003,No public email
Port Chester Coach Diner,http://www.raysdiners.com/,,,Port Chester,+1 914-937-0008,No public email
Post Road Diner,http://prdfamily.com/,,,Norwalk,+1 203-866-9777,No public email
Premier Diner Commack,http://www.premier-diner.com/,,,Commack,+1 631-462-1432,No public email
Raceway Diner,http://www.theracewaydiner.com/,,,Yonkers,+1 914-969-4343,No public email
River Edge Diner,http://www.riveredgediner.com/,,,River Edge,+1 201-262-4976,No public email
Saddle Brook Diner,http://www.saddlebrookdiner.com/,,,Saddle Brook,+1 201-843-5929,No public email
Seaport Diner,http://www.seaportdinerli.com/,,,Port Jefferson Station,+1 631-928-7777,No public email
Seaport Diner,https://seaportdiner.com/,,,Elizabeth,+1 908-351-4510,No public email
Seven Brothers Diner,http://sevenbrothersdiner.com/,,,Yonkers,+1 914-969-8871,No public email
Sherwood Diner,http://www.sherwooddinerct.com/,,,Westport,+1 203-226-5535,No public email
Shore Haven Diner,http://shorehavendiner.com/,,,Bronx,+1 718-824-0094,No public email
Shore Road Diner,https://shoreroaddiner.com/,,,New Rochelle,+1 914-636-9181,No public email
Skylight Diner,https://www.skylightdinernyc.com/Welcome.tpl?action=nc&from=Top125,,,New York,+1 212-244-0395,No public email
Southport Diner,http://southportdiner.com/,,,Southport,+1 203-292-6699,No public email
Sparta Classic Diner,http://spartaclassicdiner.com/,,,Sparta,+1 973-729-2425,No public email
Splendid Diner,http://www.splendiddiner.com/,,,New Rochelle,+1 914-355-5017,No public email
Star Diner,http://stardinerwhiteplains.com/,,,White Plains,+1 914-684-8702,No public email
State Line Diner,https://www.statelinediner.com/,,,Mahwah,+1 201-529-3353,No public email
Staten Island Diner,http://www.statenislanddiner.com/,,,Staten Island,+1 718-273-4515,No public email
Stop 20 Diner,https://stop20diner.shop/,,,Meacham,+1 516-358-7142,No public email
Suburban Diner,http://suburbandiner17.com/contact-us/,,,Paramus,+1 201-261-2605,No public email
Summit Diner,https://summitdinernj.com/m/index.php,,,Summit,+1 908-277-3256,No public email
Sunrise Diner,http://www.thesunrisediner.com/,,,Wantagh,+1 516-221-5907,No public email
Sunset Park Diner & Donuts,https://sunsetparkdinerdonuts.com/,,,Brooklyn,+1 718-871-1037,No public email
Symphony Diner,http://perryscoffeeshop.com/,,,Bronx,+1 718-665-5464,No public email
Tenafly Classic Diner,http://www.tenaflyclassicdiner.com/,,,Tenafly,+1 201-567-5522,No public email
The Allwood Diner,http://www.theallwooddiner.com/index.php?y_source=1_MTc3OTg2NjctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,,Clifton,+1 973-365-2575,No public email
The Beacon Diner,http://www.beacondinernj.com/,,,Fairview,+1 201-943-6719,No public email
The Bedford Diner,http://bedforddinerny.com/,,,Bedford Hills,+1 914-241-4808,No public email
The Best Diner - Family Restaurant,http://bestdinerny.com/,,,Suffern,+1 845-357-5700,No public email
The Classic Diner,https://www.theclassicdiner.com/,,,Richmond Hill,+1 718-847-7500,No public email
"The Colonnade Diner, Restaurant & Catering",http://colonnadediner.com/,,,Staten Island,+1 718-351-2900,No public email
The Edison Diner,https://www.edisondiner.com/,,,Edison,+1 732-985-3335,No public email
The Johnson Diner & Bar,https://thejohnsondinerbar.com/,,,Bronx,+1 315-677-7665,No public email
The Kenilworth Diner Restaurant,http://www.kenilworthdiner.com/,,,Kenilworth,+1 908-245-6565,No public email
The Lindenhurst Diner,http://www.lindenhurstdiner.com/,,,Lindenhurst,+1 631-991-8600,No public email
The Ridge Diner,http://www.ridgediner.com/,,,Park Ridge,+1 201-391-4242,No public email
The Ridge Diner Ridgewood,https://www.theridgediner.com/,,,Ridgewood,+1 877-287-4343,No public email
The Stamford Diner,http://www.thestamforddiner.com/,,,Stamford,+1 203-348-7000,No public email
The West Essex Diner,http://www.thewestessexdiner.com/,,,Fairfield,+1 973-737-9024,No public email
Thomas's Ham & Eggery Diner,http://www.hamandeggery.com/,,,Carle Place,+1 516-333-3060,No public email
Thornwood Coach Diner,http://thornwooddiner.com/,,,Thornwood,+1 914-769-8844,No public email
